Stage,Development,HPF,Species,Mark,Temperature,Replicate.Bio,Fluoro.530.590,DNA.ng
Sperm,Sperm,0,A. hyacinthus,5hmC,27,Rep1,59,149
Sperm,Sperm,0,A. hyacinthus,5hmC,27,Rep2,60,297
Sperm,Sperm,0,A. hyacinthus,5hmC,27,Rep3,68,301
Oocytes,Oocytes,0,A. hyacinthus,5hmC,27,Rep1,67,100
Oocytes,Oocytes,0,A. hyacinthus,5hmC,27,Rep2,56,100
Oocytes,Oocytes,0,A. hyacinthus,5hmC,27,Rep3,64,100
Stage 1 ,Fertilized oocyte,,A. hyacinthus,5hmC,27,Rep1,74,100
Stage 1 ,Fertilized oocyte,,A. hyacinthus,5hmC,27,Rep2,65,100
Stage 1 ,Fertilized oocyte,,A. hyacinthus,5hmC,27,Rep3,68,100
Stage 2,4 cells,,A. hyacinthus,5hmC,27,Rep1,58,100
Stage 2,4 cells,,A. hyacinthus,5hmC,27,Rep2,60,100
Stage 2,4 cells,,A. hyacinthus,5hmC,27,Rep3,63,100
Stage 3,8 cells,,A. hyacinthus,5hmC,27,Rep1,70,100
Stage 3,8 cells,,A. hyacinthus,5hmC,27,Rep2,58,104
Stage 3,8 cells,,A. hyacinthus,5hmC,27,Rep3,65,112
Stage 4,Morula,,A. hyacinthus,5hmC,27,Rep1,60,100
Stage 4,Morula,,A. hyacinthus,5hmC,27,Rep2,61,112
Stage 4,Morula,,A. hyacinthus,5hmC,27,Rep3,73,100
Stage 5,Prawn Chip,,A. hyacinthus,5hmC,27,Rep1,57,100
Stage 5,Prawn Chip,,A. hyacinthus,5hmC,27,Rep2,56,100
Stage 5,Prawn Chip,,A. hyacinthus,5hmC,27,Rep3,63,100
Stage 6,Blastula,,A. hyacinthus,5hmC,27,Rep1,67,96
Stage 6,Blastula,,A. hyacinthus,5hmC,27,Rep2,61,104
Stage 6,Blastula,,A. hyacinthus,5hmC,27,Rep3,72,96
Stage 7,Late Blastula,,A. hyacinthus,5hmC,27,Rep1,67,96
Stage 7,Late Blastula,,A. hyacinthus,5hmC,27,Rep2,61,112
Stage 7,Late Blastula,,A. hyacinthus,5hmC,27,Rep3,69,96
Stage 8,Early Bowl,,A. hyacinthus,5hmC,27,Rep1,66,70
Stage 8,Early Bowl,,A. hyacinthus,5hmC,27,Rep2,84,70
Stage 8,Early Bowl,,A. hyacinthus,5hmC,27,Rep3,73,60
Stage 9,Bowl,,A. hyacinthus,5hmC,27,Rep1,79,100
Stage 9,Bowl,,A. hyacinthus,5hmC,27,Rep2,72,100
Stage 9,Bowl,,A. hyacinthus,5hmC,27,Rep3,77,100
Stage 10,Blastulation end,,A. hyacinthus,5hmC,27,Rep1,110,100
Stage 10,Blastulation end,,A. hyacinthus,5hmC,27,Rep2,97,100
Stage 10,Blastulation end,,A. hyacinthus,5hmC,27,Rep3,78,100
Stage 11,Gastrula,,A. hyacinthus,5hmC,27,Rep1,76,124
Stage 11,Gastrula,,A. hyacinthus,5hmC,27,Rep2,60,128
Stage 11,Gastrula,,A. hyacinthus,5hmC,27,Rep3,66,100
Stage 12,Round stage,,A. hyacinthus,5hmC,27,Rep1,63,109
Stage 12,Round stage,,A. hyacinthus,5hmC,27,Rep2,71,100
Stage 12,Round stage,,A. hyacinthus,5hmC,27,Rep3,70,100
Stage 13,Early tear drop,,A. hyacinthus,5hmC,27,Rep1,75,100
Stage 13,Early tear drop,,A. hyacinthus,5hmC,27,Rep2,117,100
Stage 13,Early tear drop,,A. hyacinthus,5hmC,27,Rep3,104,100
Stage 14,Tear drop,,A. hyacinthus,5hmC,27,Rep1,76,100
Stage 14,Tear drop,,A. hyacinthus,5hmC,27,Rep2,89,100
Stage 14,Tear drop,,A. hyacinthus,5hmC,27,Rep3,101,100
Stage 15,Late tear drop,,A. hyacinthus,5hmC,27,Rep1,102,100
Stage 15,Late tear drop,,A. hyacinthus,5hmC,27,Rep2,80,100
Stage 15,Late tear drop,,A. hyacinthus,5hmC,27,Rep3,83,100
Stage 16,Early elongated,,A. hyacinthus,5hmC,27,Rep1,117,100
Stage 16,Early elongated,,A. hyacinthus,5hmC,27,Rep2,69,100
Stage 16,Early elongated,,A. hyacinthus,5hmC,27,Rep3,83,100
Stage 17,Swimming larvae,,A. hyacinthus,5hmC,27,Rep1,118,100
Stage 17,Swimming larvae,,A. hyacinthus,5hmC,27,Rep2,61,100
Stage 17,Swimming larvae,,A. hyacinthus,5hmC,27,Rep3,103,100
Stage 17.5,Swimming larvae older,,A. hyacinthus,5hmC,27,Rep1,106,100
Stage 17.5,Swimming larvae older,,A. hyacinthus,5hmC,27,Rep2,110,100
Stage 17.5,Swimming larvae older,,A. hyacinthus,5hmC,27,Rep3,124,100
Stage 1 ,Fertilized oocyte,,A. hyacinthus,5hmC,30,Rep1,37,80
Stage 1 ,Fertilized oocyte,,A. hyacinthus,5hmC,30,Rep2,51,122
Stage 1 ,Fertilized oocyte,,A. hyacinthus,5hmC,30,Rep3,26,72
Stage 2,4 cells,,A. hyacinthus,5hmC,30,Rep1,55,64
Stage 2,4 cells,,A. hyacinthus,5hmC,30,Rep2,66,100
Stage 2,4 cells,,A. hyacinthus,5hmC,30,Rep3,63,64
Stage 3,8 cells,,A. hyacinthus,5hmC,30,Rep1,19,68
Stage 3,8 cells,,A. hyacinthus,5hmC,30,Rep2,15,92
Stage 3,8 cells,,A. hyacinthus,5hmC,30,Rep3,29,120
Stage 4,Morula,,A. hyacinthus,5hmC,30,Rep1,59,96
Stage 4,Morula,,A. hyacinthus,5hmC,30,Rep2,65,112
Stage 4,Morula,,A. hyacinthus,5hmC,30,Rep3,56,88
Stage 5,Prawn Chip,,A. hyacinthus,5hmC,30,Rep1,23,104
Stage 5,Prawn Chip,,A. hyacinthus,5hmC,30,Rep2,13,40
Stage 5,Prawn Chip,,A. hyacinthus,5hmC,30,Rep3,15,80
Stage 6,Blastula,,A. hyacinthus,5hmC,30,Rep1,60,100
Stage 6,Blastula,,A. hyacinthus,5hmC,30,Rep2,67,64
Stage 6,Blastula,,A. hyacinthus,5hmC,30,Rep3,73,96
Stage 7,Late Blastula,,A. hyacinthus,5hmC,30,Rep1,18,84
Stage 7,Late Blastula,,A. hyacinthus,5hmC,30,Rep2,16,92
Stage 7,Late Blastula,,A. hyacinthus,5hmC,30,Rep3,15,76
Stage 8,Early Bowl,,A. hyacinthus,5hmC,30,Rep1,24,72
Stage 8,Early Bowl,,A. hyacinthus,5hmC,30,Rep2,17,48
Stage 8,Early Bowl,,A. hyacinthus,5hmC,30,Rep3,18,44
Stage 9,Bowl,,A. hyacinthus,5hmC,30,Rep1,60,32
Stage 9,Bowl,,A. hyacinthus,5hmC,30,Rep2,55,100
Stage 9,Bowl,,A. hyacinthus,5hmC,30,Rep3,58,36
Stage 10,Blastulation end,,A. hyacinthus,5hmC,30,Rep1,19,88
Stage 10,Blastulation end,,A. hyacinthus,5hmC,30,Rep2,16,64
Stage 10,Blastulation end,,A. hyacinthus,5hmC,30,Rep3,18,60
Stage 11,Gastrula,,A. hyacinthus,5hmC,30,Rep1,66,56
Stage 11,Gastrula,,A. hyacinthus,5hmC,30,Rep2,65,96
Stage 11,Gastrula,,A. hyacinthus,5hmC,30,Rep3,60,56
Stage 12,Round stage,,A. hyacinthus,5hmC,30,Rep1,74,100
Stage 12,Round stage,,A. hyacinthus,5hmC,30,Rep2,68,72
Stage 12,Round stage,,A. hyacinthus,5hmC,30,Rep3,68,80
HF4.RFU,Standard,Standard,Standard,5hmC,NA,Rep1,55,NA
HF4.RFU,Standard,Standard,Standard,5hmC,NA,Rep2,52,NA
HF4.RFU,Standard,Standard,Standard,5hmC,NA,Rep3,54,NA
Std0.5,Standard,Standard,Standard,5hmC,NA,Rep1,58,NA
Std0.5,Standard,Standard,Standard,5hmC,NA,Rep2,56,NA
Std0.5,Standard,Standard,Standard,5hmC,NA,Rep3,50,NA
Std1,Standard,Standard,Standard,5hmC,NA,Rep1,3137,NA
Std1,Standard,Standard,Standard,5hmC,NA,Rep2,3300,NA
Std1,Standard,Standard,Standard,5hmC,NA,Rep3,2911,NA
