Stage,Development,HPF,Species,Mark,Temperature,Replicate.Bio,Abs.450,DNA.ng
Sperm,Sperm,0,A. pulchra,5fC,27,Rep1,0.045,300
Sperm,Sperm,0,A. pulchra,5fC,27,Rep2,0.044,300
Sperm,Sperm,0,A. pulchra,5fC,27,Rep3,0.047,300
Sperm,Sperm,0,A. pulchra,5fC,27,Rep4,0.044,300
Oocytes,Oocytes,0,A. pulchra,5fC,27,Rep1,0.045,128
Oocytes,Oocytes,0,A. pulchra,5fC,27,Rep2,0.046,300
Oocytes,Oocytes,0,A. pulchra,5fC,27,Rep3,0.047,184
Oocytes,Oocytes,0,A. pulchra,5fC,27,Rep4,0.046,184
Stage 1 ,Fertilized oocyte,,A. pulchra,5fC,27,Rep1,0.048,300
Stage 1 ,Fertilized oocyte,,A. pulchra,5fC,27,Rep2,0.044,160
Stage 1 ,Fertilized oocyte,,A. pulchra,5fC,27,Rep3,0.046,176
Stage 1 ,Fertilized oocyte,,A. pulchra,5fC,27,Rep4,0.046,176
Stage 2,4 cells,,A. pulchra,5fC,27,Rep1,0.049,216
Stage 2,4 cells,,A. pulchra,5fC,27,Rep2,0.049,216
Stage 2,4 cells,,A. pulchra,5fC,27,Rep3,0.044,300
Stage 2,4 cells,,A. pulchra,5fC,27,Rep4,0.048,300
Stage 3,8 cells,,A. pulchra,5fC,27,Rep1,0.048,300
Stage 3,8 cells,,A. pulchra,5fC,27,Rep2,0.046,300
Stage 3,8 cells,,A. pulchra,5fC,27,Rep3,0.046,300
Stage 3,8 cells,,A. pulchra,5fC,27,Rep4,NA,NA
Stage 4,Morula,,A. pulchra,5fC,27,Rep1,0.047,300
Stage 4,Morula,,A. pulchra,5fC,27,Rep2,0.047,300
Stage 4,Morula,,A. pulchra,5fC,27,Rep3,0.048,300
Stage 4,Morula,,A. pulchra,5fC,27,Rep4,0.051,300
Stage 5,Prawn Chip,,A. pulchra,5fC,27,Rep1,0.049,300
Stage 5,Prawn Chip,,A. pulchra,5fC,27,Rep2,0.045,300
Stage 5,Prawn Chip,,A. pulchra,5fC,27,Rep3,0.045,300
Stage 5,Prawn Chip,,A. pulchra,5fC,27,Rep4,0.047,300
Stage 6,Blastula,,A. pulchra,5fC,27,Rep1,0.045,300
Stage 6,Blastula,,A. pulchra,5fC,27,Rep2,0.045,300
Stage 6,Blastula,,A. pulchra,5fC,27,Rep3,0.045,224
Stage 6,Blastula,,A. pulchra,5fC,27,Rep4,0.044,300
Stage 7,Late Blastula,,A. pulchra,5fC,27,Rep1,0.045,300
Stage 7,Late Blastula,,A. pulchra,5fC,27,Rep2,0.048,300
Stage 7,Late Blastula,,A. pulchra,5fC,27,Rep3,0.045,300
Stage 7,Late Blastula,,A. pulchra,5fC,27,Rep4,0.044,300
Stage 8,Early Bowl,,A. pulchra,5fC,27,Rep1,0.046,216
Stage 8,Early Bowl,,A. pulchra,5fC,27,Rep2,0.047,216
