Stage,Development,HPF,Species,Mark,Temperature,Replicate.Bio,Fluoro.530.590,DNA.ng
Sperm,Sperm,0,A. hyacinthus,5mC,27,Rep1,326,149
Sperm,Sperm,0,A. hyacinthus,5mC,27,Rep2,781,297
Sperm,Sperm,0,A. hyacinthus,5mC,27,Rep3,624,301
Oocytes,Oocytes,0,A. hyacinthus,5mC,27,Rep1,1258,100
Oocytes,Oocytes,0,A. hyacinthus,5mC,27,Rep2,1108,100
Oocytes,Oocytes,0,A. hyacinthus,5mC,27,Rep3,958,100
Stage 1 ,Fertilized oocyte,1,A. hyacinthus,5mC,27,Rep1,1333,100
Stage 1 ,Fertilized oocyte,1,A. hyacinthus,5mC,27,Rep2,1071,100
Stage 1 ,Fertilized oocyte,1,A. hyacinthus,5mC,27,Rep3,1351,100
Stage 2,2 cells,2,A. hyacinthus,5mC,27,Rep1,412,100
Stage 2,2 cells,2,A. hyacinthus,5mC,27,Rep2,521,100
Stage 2,2 cells,2,A. hyacinthus,5mC,27,Rep3,1218,100
Stage 3,8 cells,3,A. hyacinthus,5mC,27,Rep1,1383,100
Stage 3,8 cells,3,A. hyacinthus,5mC,27,Rep2,348,104
Stage 3,8 cells,3,A. hyacinthus,5mC,27,Rep3,848,112
Stage 4,Morula,5,A. hyacinthus,5mC,27,Rep1,482,100
Stage 4,Morula,5,A. hyacinthus,5mC,27,Rep2,358,112
Stage 4,Morula,5,A. hyacinthus,5mC,27,Rep3,940,100
Stage 5,Prawn Chip,6,A. hyacinthus,5mC,27,Rep1,909,100
Stage 5,Prawn Chip,6,A. hyacinthus,5mC,27,Rep2,1113,100
Stage 5,Prawn Chip,6,A. hyacinthus,5mC,27,Rep3,730,100
Stage 6,Blastula,8,A. hyacinthus,5mC,27,Rep1,1206,96
Stage 6,Blastula,8,A. hyacinthus,5mC,27,Rep2,1507,104
Stage 6,Blastula,8,A. hyacinthus,5mC,27,Rep3,1403,96
Stage 7,Late Blastula,9,A. hyacinthus,5mC,27,Rep1,1269,96
Stage 7,Late Blastula,9,A. hyacinthus,5mC,27,Rep2,1286,112
Stage 7,Late Blastula,9,A. hyacinthus,5mC,27,Rep3,1281,96
Stage 8,Early Bowl,12.5,A. hyacinthus,5mC,27,Rep1,2015,70
Stage 8,Early Bowl,12.5,A. hyacinthus,5mC,27,Rep2,1764,70
Stage 8,Early Bowl,12.5,A. hyacinthus,5mC,27,Rep3,1703,60
Stage 9,Bowl,12.5,A. hyacinthus,5mC,27,Rep1,1495,100
Stage 9,Bowl,12.5,A. hyacinthus,5mC,27,Rep2,1715,100
Stage 9,Bowl,12.5,A. hyacinthus,5mC,27,Rep3,1631,100
Stage 10,Blastulation end,17.5,A. hyacinthus,5mC,27,Rep1,960,100
Stage 10,Blastulation end,17.5,A. hyacinthus,5mC,27,Rep2,1490,100
Stage 10,Blastulation end,17.5,A. hyacinthus,5mC,27,Rep3,763,100
Stage 11,Gastrula,20,A. hyacinthus,5mC,27,Rep1,1270,124
Stage 11,Gastrula,20,A. hyacinthus,5mC,27,Rep2,1070,128
Stage 11,Gastrula,20,A. hyacinthus,5mC,27,Rep3,1080,100
Stage 12,Round stage,36,A. hyacinthus,5mC,27,Rep1,949,109
Stage 12,Round stage,36,A. hyacinthus,5mC,27,Rep2,1300,100
Stage 12,Round stage,36,A. hyacinthus,5mC,27,Rep3,1385,100
Stage 13,Early tear drop,54,A. hyacinthus,5mC,27,Rep1,1240,100
Stage 13,Early tear drop,54,A. hyacinthus,5mC,27,Rep2,1815,100
Stage 13,Early tear drop,54,A. hyacinthus,5mC,27,Rep3,1759,100
Stage 14,Tear drop,86,A. hyacinthus,5mC,27,Rep1,1680,100
Stage 14,Tear drop,86,A. hyacinthus,5mC,27,Rep2,1864,100
Stage 14,Tear drop,86,A. hyacinthus,5mC,27,Rep3,2030,100
Stage 15,Late tear drop,98,A. hyacinthus,5mC,27,Rep1,1711,100
Stage 15,Late tear drop,98,A. hyacinthus,5mC,27,Rep2,1708,100
Stage 15,Late tear drop,98,A. hyacinthus,5mC,27,Rep3,1713,100
Stage 16,Early elongated,170,A. hyacinthus,5mC,27,Rep1,1952,100
Stage 16,Early elongated,170,A. hyacinthus,5mC,27,Rep2,1669,100
Stage 16,Early elongated,170,A. hyacinthus,5mC,27,Rep3,1695,100
Stage 17,Swimming larvae,218,A. hyacinthus,5mC,27,Rep1,2330,100
Stage 17,Swimming larvae,218,A. hyacinthus,5mC,27,Rep2,1705,100
Stage 17,Swimming larvae,218,A. hyacinthus,5mC,27,Rep3,2355,100
Stage 17.5,Swimming larvae older,230,A. hyacinthus,5mC,27,Rep1,2063,100
Stage 17.5,Swimming larvae older,230,A. hyacinthus,5mC,27,Rep2,2248,100
Stage 17.5,Swimming larvae older,230,A. hyacinthus,5mC,27,Rep3,2406,100
Stage 1 ,Fertilized oocyte,1,A. hyacinthus,5mC,31,Rep1,30,80
Stage 1 ,Fertilized oocyte,1,A. hyacinthus,5mC,31,Rep2,29,72
Stage 1 ,Fertilized oocyte,1,A. hyacinthus,5mC,31,Rep3,174,128
Stage 2,2 cells,2,A. hyacinthus,5mC,31,Rep1,286,64
Stage 2,2 cells,2,A. hyacinthus,5mC,31,Rep2,148,100
Stage 2,2 cells,2,A. hyacinthus,5mC,31,Rep3,439,64
Stage 3,8 cells,3,A. hyacinthus,5mC,31,Rep1,37,117
Stage 3,8 cells,3,A. hyacinthus,5mC,31,Rep2,37,92
Stage 3,8 cells,3,A. hyacinthus,5mC,31,Rep3,38,120
Stage 4,Morula,5,A. hyacinthus,5mC,31,Rep1,166,96
Stage 4,Morula,5,A. hyacinthus,5mC,31,Rep2,148,112
Stage 4,Morula,5,A. hyacinthus,5mC,31,Rep3,163,88
Stage 5,Prawn Chip,6,A. hyacinthus,5mC,31,Rep1,26,111
Stage 5,Prawn Chip,6,A. hyacinthus,5mC,31,Rep2,25,104
Stage 5,Prawn Chip,6,A. hyacinthus,5mC,31,Rep3,28,40
Stage 6,Blastula,8,A. hyacinthus,5mC,31,Rep1,260,100
Stage 6,Blastula,8,A. hyacinthus,5mC,31,Rep2,307,64
Stage 6,Blastula,8,A. hyacinthus,5mC,31,Rep3,188,96
Stage 7,Late Blastula,9,A. hyacinthus,5mC,31,Rep1,24,80
Stage 7,Late Blastula,9,A. hyacinthus,5mC,31,Rep2,36,84
Stage 7,Late Blastula,9,A. hyacinthus,5mC,31,Rep3,26,92
Stage 8,Early Bowl,12.5,A. hyacinthus,5mC,31,Rep1,158,76
Stage 8,Early Bowl,12.5,A. hyacinthus,5mC,31,Rep2,100,72
Stage 8,Early Bowl,12.5,A. hyacinthus,5mC,31,Rep3,80,48
Stage 9,Bowl,12.5,A. hyacinthus,5mC,31,Rep1,493,32
Stage 9,Bowl,12.5,A. hyacinthus,5mC,31,Rep2,55,100
Stage 9,Bowl,12.5,A. hyacinthus,5mC,31,Rep3,163,36
Stage 10,Blastulation end,17.5,A. hyacinthus,5mC,31,Rep1,81,48
Stage 10,Blastulation end,17.5,A. hyacinthus,5mC,31,Rep2,79,60
Stage 10,Blastulation end,17.5,A. hyacinthus,5mC,31,Rep3,181,64
Stage 11,Gastrula,20,A. hyacinthus,5mC,31,Rep1,153,56
Stage 11,Gastrula,20,A. hyacinthus,5mC,31,Rep2,312,96
Stage 11,Gastrula,20,A. hyacinthus,5mC,31,Rep3,166,56
Stage 12,Round stage,36,A. hyacinthus,5mC,31,Rep1,477,100
Stage 12,Round stage,36,A. hyacinthus,5mC,31,Rep2,848,72
Stage 12,Round stage,36,A. hyacinthus,5mC,31,Rep3,774,80
MF3.RFU,Standard,Standard,Standard,5mC,na,Rep1,20,NA
MF3.RFU,Standard,Standard,Standard,5mC,na,Rep2,19,NA
MF3.RFU,Standard,Standard,Standard,5mC,na,Rep3,23,NA
Std0.5,Standard,Standard,Standard,5mC,na,Rep1,435,NA
Std0.5,Standard,Standard,Standard,5mC,na,Rep2,479,NA
Std0.5,Standard,Standard,Standard,5mC,na,Rep3,495,NA
Std1,Standard,Standard,Standard,5mC,na,Rep1,636,NA
Std1,Standard,Standard,Standard,5mC,na,Rep2,916,NA
Std1,Standard,Standard,Standard,5mC,na,Rep3,765,NA
Std2,Standard,Standard,Standard,5mC,na,Rep1,1030,NA
Std2,Standard,Standard,Standard,5mC,na,Rep2,1029,NA
Std2,Standard,Standard,Standard,5mC,na,Rep3,1005,NA
Std5,Standard,Standard,Standard,5mC,na,Rep1,1640,NA
Std5,Standard,Standard,Standard,5mC,na,Rep2,1541,NA
Std5,Standard,Standard,Standard,5mC,na,Rep3,1725,NA
MF4.RFU,Standard,Standard,Standard,5mC,na,Rep1,2163,NA
MF4.RFU,Standard,Standard,Standard,5mC,na,Rep2,2047,NA
MF4.RFU,Standard,Standard,Standard,5mC,na,Rep3,2130,NA
