Stage,Development,HPF,Species,Mark,Temperature,Replicate.Bio,Abs.450,DNA.ng
Sperm,Sperm,0,A. cytherea,5fC,27,Rep1,0.313,234
Sperm,Sperm,0,A. cytherea,5fC,27,Rep2,0.302,228
Sperm,Sperm,0,A. cytherea,5fC,27,Rep3,0.356,210
Oocytes,Oocytes,0,A. cytherea,5fC,27,Rep1,0.3,288
Oocytes,Oocytes,0,A. cytherea,5fC,27,Rep2,0.266,244
Oocytes,Oocytes,0,A. cytherea,5fC,27,Rep3,0.283,216
Stage 1 ,Fertilized oocyte,1,A. cytherea,5fC,27,Rep1,0.28,222
Stage 1 ,Fertilized oocyte,1,A. cytherea,5fC,27,Rep2,0.287,231
Stage 1 ,Fertilized oocyte,1,A. cytherea,5fC,27,Rep3,0.272,168
Stage 2,2 cells,2,A. cytherea,5fC,27,Rep1,0.31,200
Stage 2,2 cells,2,A. cytherea,5fC,27,Rep2,0.291,204
Stage 2,2 cells,2,A. cytherea,5fC,27,Rep3,0.324,136
Stage 3,8 cells,3,A. cytherea,5fC,27,Rep1,0.279,245
Stage 3,8 cells,3,A. cytherea,5fC,27,Rep2,0.316,200
Stage 3,8 cells,3,A. cytherea,5fC,27,Rep3,0.286,224
Stage 4,Morula,5,A. cytherea,5fC,27,Rep1,0.272,225
Stage 4,Morula,5,A. cytherea,5fC,27,Rep2,0.265,198
Stage 4,Morula,5,A. cytherea,5fC,27,Rep3,0.2685,220
Stage 5,Prawn Chip,6,A. cytherea,5fC,27,Rep1,0.307,88
Stage 5,Prawn Chip,6,A. cytherea,5fC,27,Rep2,0.311,144
Stage 5,Prawn Chip,6,A. cytherea,5fC,27,Rep3,0.303,136
Stage 6,Blastula,8,A. cytherea,5fC,27,Rep1,0.292,120
Stage 6,Blastula,8,A. cytherea,5fC,27,Rep2,0.29,203
Stage 6,Blastula,8,A. cytherea,5fC,27,Rep3,0.287,152
Stage 7,Late Blastula,9,A. cytherea,5fC,27,Rep1,0.276,200
Stage 7,Late Blastula,9,A. cytherea,5fC,27,Rep2,0.276,198
Stage 7,Late Blastula,9,A. cytherea,5fC,27,Rep3,0.276,204
Stage 8,Early Bowl,12.5,A. cytherea,5fC,27,Rep1,0.31,236
Stage 8,Early Bowl,12.5,A. cytherea,5fC,27,Rep2,0.305,228
Stage 8,Early Bowl,12.5,A. cytherea,5fC,27,Rep3,0.325,202
Stage 9,Bowl,12.5,A. cytherea,5fC,27,Rep1,0.303,200
Stage 9,Bowl,12.5,A. cytherea,5fC,27,Rep2,0.301,120
Stage 9,Bowl,12.5,A. cytherea,5fC,27,Rep3,0.302,128
Stage 10,Blastulation end,17.5,A. cytherea,5fC,27,Rep1,0.283,184
